what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1367080398463
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1367080398478
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1367080398488
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1367080398507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080470457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080478032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1367080518086
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.eof",1367080518714
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367080560325
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367080560452
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080603703
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080613310
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080613329
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080616099
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080616106
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367080633192
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367080633247
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367080633251
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1367080633277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080641587
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1367080655690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080655706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080657130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080697051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080699460
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1367080704981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080704997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367080705883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081001299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081004570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081011410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081017089
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1367081034391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081034410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081042369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081047825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081062027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081089622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081090876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081095140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081100525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081119903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081122068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081148500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081149778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081349567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081350756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081448931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081450305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081457109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081459331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081477311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081482098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081509446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081533015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081640767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081644011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081653544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081656339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081758069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081764932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081858888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081862120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081869125
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367081885286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1367081885826
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1367081885981
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1367081885982
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1367081885982
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1367081885982
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1367082065075
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1367082065076
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1367082065076
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1367082065077
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1367082065077
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1367082065082
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1367082065093
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1367082065093
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1367082065094
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1367082065095
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1367082065095
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1367082065095
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1367082065104
