what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079524462
java.specification.version,sysinfo,,,"1.6",1367079524462
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079524462
java.version,sysinfo,,,"1.6.0_18",1367079524462
java.vm.info,sysinfo,,,"mixed mode",1367079524462
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1367079524462
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367079524462
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079524462
java.vm.specification.version,sysinfo,,,"1.0",1367079524462
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079524462
java.vm.version,sysinfo,,,"14.0-b16",1367079524462
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1367079560109
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1367079560638
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367079560677
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367079560812
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367079560837
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367079571720
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367079571765
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1367079571766
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1367079571781
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367079591343
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1367079591671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1367079592033
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1367079592074
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1367079592074
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1367079592074
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1367079592075
stopped,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1367079592076
stopped,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1367079592076
