what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367082923993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367082992005
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.SimplePush",1367083015548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083015996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083020555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083020661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083106594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083106729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083116408
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083120684
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367083120716
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083120717
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.SimpleFetch",1367083125631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083126085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083127556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083127663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083138152
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083141256
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083141280
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367083141301
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083148041
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367083148072
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083148072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083160419
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.RepositoriesViewMerge",1367083183128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083183143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083183512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083256186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083270600
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.Commit",1367083275919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083275930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083316669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083549001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083565183
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.ConfigureUpstreamPush",1367083576627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083576647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083584304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083605371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083605511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367083609290
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083612836
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367083612860
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367083612881
